Service,Entity Set,Data Source ID,Report Name,Description,URL Path
ana_businessanalytics_analytics.svc,RPCC_VM1_Q0002QueryResults,CC_VM1,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCC_VM1_Q0002QueryResults
ana_businessanalytics_analytics.svc,RPCOMUSGB01QueryResults,,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCOMUSGB01QueryResults
ana_businessanalytics_analytics.svc,RPCONSGTU01_Q0001QueryResults,CONSGTU01,Customer Consignment Report,"Provides a comprehensive view of the customer consignment quantities, which are open for fill-up, delivered, open for invoicing, invoiced, returned, etc.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCONSGTU01_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMACTU_Q0001QueryResults,CRMACTU,All Activities,Contains all types of activities. It allows you to analyze number and usage of all six activity types.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMACTU_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCCOHHB_Q0001QueryResults,CRMCCOHHB,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCCOHHB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCCOIB01_Q0001QueryResults,CRMCCOIB01,Customer Contract Item,Contains data on the customer contract items.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCCOIB01_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCCOIB_Q0001QueryResults,CRMCCOIB,Customer Contract Item,Contains data on the customer contract items.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCCOIB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCCOIPATCB_Q0001QueryResults,CRMCCOIPATCB,Customer Contract Item with Price Components,"Contains data on the customer contract items , along with details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCCOIPATCB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCIVIB01_Q0001QueryResults,CRMCIVIB01,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCIVIB01_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCIVIB_MQ0001QueryResults,CRMCIVIB,Customer Invoice Item,"Contains all customer invoice items. It provides you with information on the products, quantities, gross amounts, net amounts, and tax amounts.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCIVIB_MQ0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCIVIB_Q0001QueryResults,CRMCIVIB,Customer Invoice Item,"Contains all customer invoice items. It provides you with information on the products, quantities, gross amounts, net amounts, and tax amounts.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCIVIB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCIVIB_Q0002QueryResults,CRMCIVIB,Customer Invoice Item,"Contains all customer invoice items. It provides you with information on the products, quantities, gross amounts, net amounts, and tax amounts.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCIVIB_Q0002QueryResults
ana_businessanalytics_analytics.svc,RPCRMCIVIPATCB_Q0001QueryResults,CRMCIVIPATCB,Customer Invoice Item with Price Components,"Contains data on the quantities and values of customer invoice items. It allows you to analyze the development and distribution of sales quote items across organizational units , along with details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCIVIPATCB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCQTIB01_Q0001QueryResults,CRMCQTIB01,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCQTIB01_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCQTIB_MQ0001QueryResults,CRMCQTIB,Sales Quote Item,Contains data on the quantities and values of sales quote items. It allows you to analyze the distribution of sales quote items across organizational units.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCQTIB_MQ0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMCQTIB_Q0001QueryResults,CRMCQTIB,Sales Quote Item,Contains data on the quantities and values of sales quote items. It allows you to analyze the distribution of sales quote items across organizational units.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMCQTIB_Q0001QueryResults
